songID,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo
6vWEAOUSxohKxhp0K1BsxL,0.457,0.661,0.44,0,0.128,-9.104,0.0803,0.352,149.937
3QHPHLAkYV5cQBUYs6rowx,0.0192,0.631,0.696,0,0.0554,-5.572,0.348,0.621,92.941
6luwqAS5Iw4grq6r3CT6a9,0.716,0.639,0.676,0.906,0.121,-16.293,0.0388,0.523,118.003
3Pwp5TRf0u7T3pXy6D67LQ,0.0334,0.459,0.828,0,0.872,-7.364,0.168,0.57,75.05
5sSxgpqqZEAdwfRYVze4fU,0.0165,0.651,0.696,0,0.0694,-5.695,0.36,0.627,92.896
12REd1n8PeiHHWOh066tpr,0.436,0.494,0.559,0,0.164,-5.445,0.0565,0.264,119.247
0HFb9ouBk4UmuYT6gvvElo,0.0217,0.472,0.918,0,0.105,-2.467,0.0707,0.388,122.208
0dWOFwdXrbBUYqD9DLsoyK,0.462,0.595,0.657,0.000597,0.437,-6.498,0.183,0.718,156.093
2b4SSorCTQ2VzmllaeWuuT,0.0323,0.824,0.396,0.00289,0.108,-9.663,0.332,0.252,118.053
0npSmMSYZ6zCfNrjtOjwpE,0.209,0.488,0.398,0.0239,0.0852,-13.677,0.0463,0.357,113.518
3oh6SCCeLuXhFpEyepla6G,0.18,0.906,0.382,0,0.113,-12.89,0.269,0.391,104.025
07FkzikE6FuHIa8Ma7zJGc,0.161,0.753,0.66,0,0.236,-6.542,0.133,0.182,95.003
25sgk305KZfyuqVBQIahim,0.0691,0.719,0.704,0,0.166,-4.724,0.0476,0.628,133.002
2G8hCbEMe4WoOhtw2EKJd5,0.482,0.714,0.754,4.37e-05,0.0438,-7.005,0.0376,0.866,100.28
